date,open,high,low,close,adjcp,volume,tic
2020-01-02,71.7196,72.7764,71.4646,72.7161,72.7161,140071218.0,AAPL
2020-01-02,222.337,222.513,218.661,219.698,219.698,2077946.4863962,AMGN
2020-01-02,93.75,94.9005,93.2075,94.9005,94.9005,80718200.0,AMZN
2020-01-02,119.931,121.47,119.505,121.063,121.063,2814864.5037591,AXP
2020-01-02,326.61,331.38,325.76,331.35,331.35,4575282.0,BA
2020-01-02,138.433,139.883,137.476,139.863,139.863,3564853.1790416,CAT
2020-01-02,163.92,167.07,163.58,166.99,166.99,5094557.0,CRM
2020-01-02,44.089,44.4179,43.923,44.4179,44.4179,18215698.711484,CSCO
2020-01-02,105.017,105.583,104.822,105.408,105.408,5997966.1897937,CVX
2020-01-02,145.29,148.2,145.1,148.2,148.2,9504711.0,DIS
2020-01-02,47.2714,47.5362,45.9104,46.003,46.003,6012326.0228797,DOW
2020-01-02,215.982,219.372,215.188,219.067,219.067,3997774.2642809,GS
2020-01-02,204.503,205.14,203.355,205.043,205.043,4216609.7265123,HD
2020-01-02,167.088,170.191,166.752,170.181,170.181,3035683.6678728,HON
2020-01-02,116.359,117.159,116.154,116.72,116.72,3653331.8247644,IBM
2020-01-02,55.1157,55.7848,55.0972,55.6656,55.6656,19360147.866786,INTC
2020-01-02,134.967,135.104,134.242,135.066,135.066,6089399.2906563,JNJ
2020-01-02,127.58,128.769,127.089,128.759,128.759,11847468.120759,JPM
2020-01-02,50.3649,50.4647,49.8549,50.0634,50.0634,12191139.894663,KO
2020-01-02,184.728,187.334,184.541,187.324,187.324,3810420.8721036,MCD
2020-01-02,159.286,161.368,158.792,161.359,161.359,3846737.2025483,MMM
2020-01-02,78.1515,79.0595,77.5368,78.9743,78.9743,9180151.8324668,MRK
2020-01-02,151.872,153.708,151.441,153.613,153.613,23664284.89059,MSFT
2020-01-02,98.6204,99.4303,98.2754,99.4204,99.4204,5802146.7452308,NKE
2020-01-02,115.643,115.851,114.183,114.646,114.646,8233287.0021223,PG
2020-01-02,128.161,128.357,126.852,128.151,128.151,1199046.7581367,TRV
2020-01-02,271.991,273.568,268.095,270.604,270.604,2750032.0,UNH
2020-01-02,182.152,184.182,181.877,184.162,184.162,9063438.0,V
2020-01-02,53.344,53.4032,52.8476,53.0556,53.0556,12681688.032026,VZ
2020-01-02,37.1957,37.5173,37.1527,37.2213,37.2213,21279574.990558,WMT
2020-01-03,71.9425,72.7725,71.7839,72.0115,72.0115,151314357.0,AAPL
