date,open,high,low,close,adjcp,volume,tic
2018-01-02,39.9866,40.4883,39.775,40.4794,40.4794,108596378.0,AAPL
2018-01-02,151.259,153.39,150.457,152.666,152.666,2667529.2332934,AMGN
2018-01-02,58.6,59.5,58.5255,59.45,59.45,53811180.0,AMZN
2018-01-02,92.8746,92.8746,91.4702,92.1412,92.1412,2949314.1698896,AXP
2018-01-02,281.84,283.01,281.49,282.87,282.87,3123252.0,BA
2018-01-02,139.893,140.84,137.89,138.768,138.768,5778915.9440057,CAT
2018-01-02,102.88,104.7,102.27,104.41,104.41,4667384.0,CRM
2018-01-02,33.2384,33.4789,33.0292,33.3994,33.3994,23411694.174897,CSCO
2018-01-02,100.96,102.589,100.824,102.472,102.472,7005584.245762,CVX
2018-01-02,105.96,108.74,105.57,108.73,108.73,11321852.0,DIS
2018-01-02,232.925,233.054,229.456,231.024,231.024,2498190.0540056,GS
2018-01-02,169.036,169.469,167.064,167.103,167.103,5271035.5073316,HD
2018-01-02,139.031,139.198,138.076,138.943,138.943,3167418.744286,HON
2018-01-02,121.561,121.825,120.81,121.376,121.376,5334837.533971,IBM
2018-01-02,40.3697,40.8229,40.2231,40.7781,40.7781,26399221.454131,INTC
2018-01-02,122.366,122.631,121.533,121.984,121.984,7808984.6061695,JNJ
2018-01-02,93.0982,93.443,92.3918,93.387,93.387,15688548.576508,JPM
2018-01-02,38.8446,39.1852,38.8446,38.8446,38.8446,12735673.670214,KO
2018-01-02,154.366,155.035,153.412,153.874,153.874,4160552.7280966,MCD
2018-01-02,199.193,200.277,196.674,199.066,199.066,3469397.6969473,MMM
2018-01-02,45.8628,45.9896,45.4259,45.5666,45.5666,12427376.12953,MRK
2018-01-02,79.7945,79.9663,79.2151,79.6334,79.6334,24258566.225624,MSFT
2018-01-02,59.8209,60.4318,59.8209,60.4318,60.4318,6831219.3490573,NKE
2018-01-02,80.2014,80.2084,79.0068,79.0936,79.0936,8662102.2068283,PG
2018-01-02,121.301,121.301,117.0,117.432,117.432,2684305.3948258,TRV
2018-01-02,198.399,199.719,197.499,198.523,198.523,3881992.0,UNH
2018-01-02,109.001,109.47,108.396,108.942,108.942,6391571.0,V
2018-01-02,42.3253,42.6527,42.0408,42.6235,42.6235,20149397.523682,VZ
2018-01-02,29.7536,29.9008,29.5204,29.5409,29.5409,33844127.826733,WMT
2018-01-03,40.5435,41.0145,40.4064,40.4725,40.4725,125393932.0,AAPL
2018-01-03,152.608,156.519,151.601,155.58,155.58,3574946.8826934,AMGN
2018-01-03,59.415,60.2745,59.415,60.21,60.21,61890620.0,AMZN
2018-01-03,92.419,92.9044,92.2156,92.7088,92.7088,3196031.7606818,AXP
2018-01-03,282.02,284.46,281.56,283.79,283.79,3354506.0,BA
2018-01-03,138.768,139.163,137.308,138.976,138.976,4690422.144741,CAT
2018-01-03,104.9,106.14,104.62,105.29,105.29,3888175.0,CRM
2018-01-03,33.2796,33.7657,33.1185,33.6665,33.6665,34082277.26384,CSCO
2018-01-03,102.365,103.555,101.906,103.204,103.204,7227837.540637,CVX
2018-01-03,109.11,110.08,108.38,109.19,109.19,9498631.0,DIS
2018-01-03,230.858,231.455,228.819,228.869,228.869,3305929.8928797,GS
2018-01-03,167.054,168.291,166.888,167.957,167.957,5097737.7246513,HD
2018-01-03,138.243,138.854,137.218,137.819,137.819,7009799.0681324,HON
2018-01-03,123.806,125.758,123.005,124.703,124.703,11997601.200902,IBM
2018-01-03,39.5794,40.2231,37.9942,39.3948,39.3948,132913635.33114,INTC
2018-01-03,122.101,123.257,121.699,123.16,123.16,5984206.2120213,JNJ
2018-01-03,93.3104,93.8655,92.9685,93.4803,93.4803,13751667.944823,JPM
2018-01-03,38.8005,38.9709,38.6723,38.7584,38.7584,14477736.262888,KO
2018-01-03,153.884,154.277,152.822,153.264,153.264,4265204.805112,MCD
2018-01-03,198.582,199.153,197.09,199.056,199.056,2580269.6124577,MMM
2018-01-03,45.5739,45.5943,45.3527,45.4983,45.4983,13057154.257991,MRK
2018-01-03,79.7279,80.1519,79.6518,80.0034,80.0034,28041768.477654,MSFT
2018-01-03,60.4218,60.5924,59.7396,60.4218,60.4218,6397922.7019536,NKE
2018-01-03,79.1616,79.4774,78.9752,78.9988,78.9988,6656624.5380917,PG
2018-01-03,116.981,118.152,116.981,117.826,117.826,1469900.7278749,TRV
2018-01-03,198.945,200.896,197.949,200.59,200.59,2693058.0,UNH
2018-01-03,109.354,110.124,109.088,110.008,110.008,7302193.0,V
2018-01-03,42.439,42.4739,41.5484,41.7464,41.7464,20919034.982591,VZ
2018-01-03,29.6184,29.9643,29.5953,29.7992,29.7992,29711992.441905,WMT
2018-01-04,40.5454,40.7661,40.4361,40.6639,40.6639,95104622.0,AAPL
2018-01-04,155.805,156.02,154.192,154.905,154.905,2342848.6244963,AMGN
2018-01-04,60.25,60.7935,60.233,60.482,60.482,60348520.0,AMZN
2018-01-04,93.4889,95.0064,93.3767,94.2491,94.2491,3340574.295506,AXP
2018-01-04,283.93,284.38,281.56,282.71,282.71,4362458.0,BA
2018-01-04,139.528,141.007,138.749,140.879,140.879,5505736.2158655,CAT
2018-01-04,106.0,107.66,105.765,106.68,106.68,4539414.0,CRM
2018-01-04,33.8157,34.239,33.7107,33.7617,33.7617,23940759.190519,CSCO
2018-01-04,102.744,103.077,102.179,102.881,102.881,5720133.6797068,CVX
2018-01-04,109.85,109.9,108.56,109.15,109.15,7626049.0,DIS
2018-01-04,230.623,234.689,229.829,232.073,232.073,2855020.9967518,GS
2018-01-04,168.713,169.606,167.487,169.292,169.292,4554546.7715455,HD
2018-01-04,138.174,139.671,138.076,139.671,139.671,4973714.7771609,HON
2018-01-04,125.601,127.719,125.396,127.241,127.241,9600902.9082708,IBM
2018-01-04,37.8808,38.8635,37.1589,38.675,38.675,102446538.5563,INTC
2018-01-04,123.053,123.651,122.846,123.15,123.15,5520744.0135751,JNJ
2018-01-04,94.2162,95.6731,94.0807,94.8185,94.8185,14894188.24641,JPM
2018-01-04,38.8603,39.4201,38.7664,39.3055,39.3055,14891094.959603,KO
2018-01-04,153.894,154.72,153.471,154.336,154.336,3102247.9362146,MCD
2018-01-04,200.209,202.273,199.774,201.652,201.652,2655183.1035682,MMM
2018-01-04,45.7414,46.5357,45.6924,46.2368,46.2368,18544963.676553,MRK
2018-01-04,80.2261,81.2186,80.2077,80.7087,80.7087,23643525.955633,MSFT
2018-01-04,60.3445,60.4882,59.5344,60.3832,60.3832,6072079.678303,NKE
2018-01-04,79.2515,80.0693,79.0551,79.5563,79.5563,7245623.4528453,PG
2018-01-04,118.526,119.017,117.787,117.826,117.826,1343385.6992221,TRV
2018-01-04,201.383,202.971,201.23,201.488,201.488,3062235.0,UNH
2018-01-04,110.573,111.627,110.371,110.42,110.42,8205293.0,V
2018-01-04,41.6989,42.1117,41.2687,41.8825,41.8825,15148482.25704,VZ
2018-01-04,29.8255,29.8975,29.6376,29.8255,29.8255,22779022.356713,WMT
2018-01-05,40.7582,41.2136,40.6699,41.122,41.122,100413538.0,AAPL
2018-01-05,156.001,156.04,154.456,155.825,155.825,2560380.0706319,AMGN
2018-01-05,60.8755,61.457,60.5,61.457,61.457,70731320.0,AMZN
2018-01-05,94.2491,94.4655,93.7013,94.4655,94.4655,2728785.4423389,AXP
2018-01-05,282.81,294.35,282.76,294.3,294.3,6363528.0,BA
2018-01-05,141.629,143.198,141.057,143.119,143.119,4462031.8613908,CAT
2018-01-05,107.76,108.295,107.2,108.1,108.1,3368333.0,CRM
2018-01-05,34.2478,34.5315,34.0858,34.2301,34.2301,28280339.825249,CSCO
2018-01-05,102.764,102.881,102.071,102.707,102.707,5212362.5436764,CVX
2018-01-05,109.58,109.58,108.18,108.55,108.55,6177821.0,DIS
2018-01-05,232.407,232.691,229.241,230.897,230.897,2869815.3161237,GS
2018-01-05,169.665,171.078,169.292,171.048,171.048,4752578.9621226,HD
2018-01-05,140.125,141.237,139.681,140.676,140.676,2742088.5161041,HON
2018-01-05,127.816,128.178,126.753,127.865,127.865,6582867.9173669,IBM
2018-01-05,38.675,39.3001,38.2129,38.9074,38.9074,47999989.402565,INTC
2018-01-05,123.267,124.249,122.906,124.161,124.161,7027430.5625608,JNJ
2018-01-05,95.0277,95.2557,93.724,94.1592,94.1592,16269623.046519,JPM
2018-01-05,39.2527,39.4093,39.0579,39.2968,39.2968,15373660.794562,KO
2018-01-05,154.602,155.457,154.041,154.651,154.651,4207021.8332847,MCD
2018-01-05,201.594,203.502,200.848,203.251,203.251,2172816.4547751,MMM
2018-01-05,46.5106,46.5106,45.8628,46.1885,46.1885,11720289.541938,MRK
2018-01-05,81.2186,81.914,81.0048,81.7089,81.7089,25259234.73412,MSFT
2018-01-05,60.6311,61.2033,60.4119,60.8968,60.8968,12139071.762237,NKE
2018-01-05,79.6323,79.6589,79.0235,79.6085,79.6085,6814726.242049,PG
2018-01-05,117.984,117.984,116.921,117.6,117.6,1285582.4524786,TRV
2018-01-05,202.167,205.629,201.747,205.343,205.343,2709972.0,UNH
2018-01-05,111.268,113.173,110.73,113.038,113.038,9030674.0,V
2018-01-05,42.0408,42.1029,41.6824,41.7873,41.7873,16763956.222375,VZ
2018-01-05,29.8555,30.0786,29.8467,30.0037,30.0037,24283468.586982,WMT
2018-01-08,40.9712,41.2677,40.8748,40.9811,40.9811,87365935.0,AAPL
2018-01-08,155.688,156.352,153.918,155.786,155.786,2731294.6400634,AMGN
2018-01-08,61.8,62.654,61.6015,62.3435,62.3435,85409700.0,AMZN
2018-01-08,94.3901,94.5767,93.5743,93.6031,93.6031,2028021.7600938,AXP
2018-01-08,294.14,296.23,291.38,295.57,295.57,4307649.0,BA
2018-01-08,145.013,147.075,143.642,146.709,146.709,6705775.8445212,CAT
2018-01-08,108.0,109.14,107.57,108.86,108.86,2930281.0,CRM
2018-01-08,34.2212,34.6023,34.0828,34.5855,34.5855,19091218.213121,CSCO
2018-01-08,102.677,103.301,102.51,103.223,103.223,6005933.4667058,CVX
2018-01-08,107.84,108.22,106.53,106.99,106.99,8271982.0,DIS
2018-01-08,230.201,230.584,227.369,227.536,227.536,3251779.9697993,GS
2018-01-08,170.362,172.148,170.263,170.657,170.657,3942770.39192,HD
2018-01-08,141.01,141.13,139.425,139.898,139.898,3030556.4188363,HON
2018-01-08,128.002,128.968,127.241,128.636,128.636,6654909.5536544,IBM
2018-01-08,38.5352,39.0276,38.2627,38.9425,38.9425,38727075.948917,INTC
2018-01-08,124.151,124.426,123.464,124.318,124.318,5854824.1706465,JNJ
2018-01-08,94.0335,94.5089,93.668,94.339,94.339,14335713.582411,JPM
2018-01-08,39.1929,39.3222,39.1344,39.235,39.235,8248016.8818368,KO
2018-01-08,154.366,154.789,153.628,154.533,154.533,2318959.2331674,MCD
2018-01-08,202.233,203.542,202.069,202.563,202.563,2212387.0820717,MMM
2018-01-08,46.3654,46.3988,45.7906,45.9202,45.9202,13706544.450384,MRK
2018-01-08,81.7185,82.0703,81.1657,81.7918,81.7918,23864696.251747,MSFT
2018-01-08,61.0585,61.5929,60.8968,61.4383,61.4383,12495906.252713,NKE
2018-01-08,79.3353,80.0693,79.3353,80.0278,80.0278,5570922.2210202,PG
2018-01-08,117.6,117.826,116.665,116.991,116.991,1509480.746396,TRV
2018-01-08,204.797,205.218,201.641,201.776,201.776,3174137.0,UNH
2018-01-08,112.792,114.61,112.294,113.507,113.507,6967926.0,V
2018-01-08,41.8494,42.0,41.4367,41.7154,41.7154,20343785.55961,VZ
2018-01-08,30.0392,30.4906,30.0281,30.447,30.447,29512811.657257,WMT
2018-01-09,41.0145,41.1379,40.7504,40.9654,40.9654,91633457.0,AAPL
2018-01-09,155.726,159.178,155.385,158.2,158.2,3499716.7333785,AMGN
2018-01-09,62.845,62.9665,62.088,62.635,62.635,73152440.0,AMZN
2018-01-09,93.7867,94.2035,93.7013,93.9385,93.9385,3168306.3471002,AXP
2018-01-09,295.97,304.86,295.88,303.45,303.45,5912751.0,BA
2018-01-09,146.985,147.953,145.891,147.075,147.075,5117400.8626413,CAT
2018-01-09,109.0,109.34,108.25,109.15,109.15,3302139.0,CRM
2018-01-09,34.4559,34.6023,34.239,34.3666,34.3666,24769002.773577,CSCO
2018-01-09,103.145,103.545,102.627,102.657,102.657,5506529.4580568,CVX
2018-01-09,107.1,107.81,106.84,106.91,106.91,6000889.0,DIS
2018-01-09,228.447,230.966,228.28,229.476,229.476,2918551.1652274,GS
2018-01-09,171.235,171.922,170.293,171.589,171.589,3384906.7267757,HD
2018-01-09,140.155,141.721,139.968,141.02,141.02,3750257.3320008,HON
2018-01-09,128.958,129.465,128.304,128.9,128.9,5514213.5950115,IBM
2018-01-09,38.9074,39.0276,37.8544,37.9677,37.9677,50842943.013211,INTC
2018-01-09,124.739,127.642,124.641,126.299,126.299,10150419.298561,JNJ
2018-01-09,94.5473,95.3225,94.3291,94.8283,94.8283,15159114.810827,JPM
2018-01-09,39.235,39.5425,39.1812,39.4299,39.4299,11679800.164852,KO
2018-01-09,154.808,154.808,153.687,154.179,154.179,3009727.6061603,MCD
2018-01-09,202.417,204.267,202.195,203.832,203.832,2006522.3595983,MMM
2018-01-09,46.0423,46.2766,45.846,46.034,46.034,13118009.672359,MRK
2018-01-09,82.1357,82.2078,81.4031,81.7372,81.7372,21010317.099768,MSFT
2018-01-09,61.1358,61.6029,60.4119,61.002,61.002,9214498.6450109,NKE
2018-01-09,79.8068,79.9657,79.4063,79.4438,79.4438,7596740.5013503,PG
2018-01-09,117.994,119.412,117.629,117.885,117.885,2338973.441887,TRV
2018-01-09,201.776,203.429,200.445,202.77,202.77,2927532.0,UNH
2018-01-09,114.113,114.113,112.841,113.28,113.28,6687330.0,V
2018-01-09,41.9728,42.2282,41.5134,41.561,41.561,18218415.207399,VZ
2018-01-09,30.5743,30.6654,30.0581,30.0819,30.0819,24378646.591263,WMT
2018-01-10,40.6922,40.9585,40.6569,40.9556,40.9556,101870955.0,AAPL
2018-01-10,157.575,158.465,155.609,157.741,157.741,2947399.2581277,AMGN
2018-01-10,62.2575,62.7165,61.8615,62.7165,62.7165,53654260.0,AMZN
2018-01-10,93.8155,94.9498,93.7599,94.5955,94.5955,2438687.7608267,AXP
2018-01-10,302.55,306.99,300.65,305.19,305.19,4699407.0,BA
2018-01-10,146.601,148.031,145.378,146.571,146.571,6199064.3323976,CAT
2018-01-10,108.675,109.49,108.225,108.8,108.8,3110089.0,CRM
2018-01-10,34.3342,34.8438,34.3175,34.5591,34.5591,22483711.163848,CSCO
2018-01-10,103.047,103.418,102.637,103.331,103.331,6583517.4693922,CVX
2018-01-10,106.93,107.47,106.01,106.46,106.46,6226875.0,DIS
2018-01-10,230.417,230.554,228.016,229.839,229.839,3235546.9311839,GS
2018-01-10,171.295,171.696,170.303,170.44,170.44,3506870.9070082,HD
2018-01-10,141.16,142.055,140.165,142.025,142.025,2834572.882065,HON
2018-01-10,128.178,129.319,127.875,129.193,129.193,5299493.5118898,IBM
2018-01-10,37.7167,37.9501,36.9391,36.9929,36.9929,52530385.359316,INTC
2018-01-10,125.769,126.319,125.572,126.152,126.152,7485656.4588415,JNJ
2018-01-10,95.8755,96.2538,95.8755,95.8755,95.8755,18204536.13215,JPM
2018-01-10,39.4299,39.4563,39.1773,39.2968,39.2968,12544717.225658,KO
2018-01-10,154.14,154.602,153.254,154.149,154.149,2446054.8387125,MCD
