date,open,high,low,close,adjcp,volume,tic
2017-01-03,26.7811,26.9071,26.5337,26.8638,26.8638,119945221.0,AAPL
2017-01-03,124.078,126.709,123.454,126.494,126.494,4192816.6239545,AMGN
2017-01-03,37.896,37.938,37.385,37.6835,37.6835,69365480.0,AMZN
2017-01-03,68.6391,69.4272,68.5002,69.06,69.06,6387283.5903379,AXP
2017-01-03,144.9,145.69,143.89,145.53,145.53,3695555.0,BA
2017-01-03,80.6351,81.6571,79.9948,80.6282,80.6282,5889981.2782666,CAT
2017-01-03,69.29,70.86,69.0,70.54,70.54,8112254.0,CRM
2017-01-03,25.202,25.3581,25.0694,25.3434,25.3434,26553379.227481,CSCO
2017-01-03,91.4404,91.9175,90.0427,91.0191,91.0191,9586454.9829031,CVX
2017-01-03,100.84,102.37,100.75,101.59,101.59,9274540.0,DIS
2017-01-03,216.579,218.607,212.354,215.569,215.569,4908703.9450799,GS
2017-01-03,117.369,117.712,116.054,116.652,116.652,6102039.4668251,HD
2017-01-03,103.321,103.557,102.355,102.917,102.917,3415349.8101494,HON
2017-01-03,126.509,127.163,125.758,126.675,126.675,3873468.3257309,IBM
2017-01-03,30.9933,31.2648,30.7071,30.9845,30.9845,23233672.71155,INTC
2017-01-03,98.8692,99.0557,98.4185,98.9285,98.9285,6970656.1985165,JNJ
2017-01-03,73.8698,74.2245,72.7204,73.7745,73.7745,24284653.460384,JPM
2017-01-03,34.2466,34.505,34.0666,34.4953,34.4953,17801072.584576,KO
2017-01-03,105.553,105.651,103.026,103.615,103.615,5909080.9200944,MCD
2017-01-03,147.614,148.572,146.267,146.955,146.955,3041055.5677008,MMM
2017-01-03,46.5106,47.4808,46.4347,47.2985,47.2985,15245443.783472,MRK
2017-01-03,56.9056,56.9496,56.3041,56.7132,56.7132,21858595.409328,MSFT
2017-01-03,48.8347,49.3136,48.6274,48.8247,48.8247,14146141.354515,NKE
2017-01-03,70.9673,71.3965,70.6447,71.2357,71.2357,10373042.913697,PG
2017-01-03,107.05,107.05,104.589,105.179,105.179,2248066.6113416,TRV
2017-01-03,142.474,143.528,140.743,142.761,142.761,4003389.0,UNH
2017-01-03,74.3826,75.4672,74.1255,75.0824,75.0824,14576842.0,V
2017-01-03,40.9724,41.5134,40.7986,41.4434,41.4434,30144237.970439,VZ
2017-01-03,20.2234,20.2234,19.8759,20.0543,20.0543,35837931.534187,WMT
2017-01-04,26.7937,26.9494,26.7711,26.8342,26.8342,88728325.0,AAPL
2017-01-04,127.638,128.987,127.384,128.264,128.264,4477563.4346265,AMGN
2017-01-04,37.9195,37.984,37.71,37.859,37.859,48464360.0,AMZN
2017-01-04,69.2714,70.4573,69.0838,70.1914,70.1914,5024292.9083806,AXP
2017-01-04,146.29,147.62,146.29,147.06,147.06,3440646.0,BA
2017-01-04,81.0316,81.0662,80.1487,80.2681,80.2681,4388932.7383314,CAT
2017-01-04,71.08,73.065,70.76,72.8,72.8,9287120.0,CRM
2017-01-04,25.307,25.4612,25.1273,25.1912,25.1912,26076113.742233,CSCO
2017-01-04,91.4599,91.6599,90.8465,90.9907,90.9907,8648088.9776761,CVX
2017-01-04,102.12,102.95,101.76,102.89,102.89,8689563.0,DIS
2017-01-04,215.452,217.137,214.217,216.97,216.97,3057481.4461232,GS
2017-01-04,116.682,118.066,116.682,117.702,117.702,4663545.0799828,HD
2017-01-04,103.33,103.626,102.788,103.202,103.202,3320761.1505332,HON
2017-01-04,127.085,128.675,126.763,128.198,128.198,4457672.9487367,IBM
2017-01-04,31.0783,31.1301,30.7637,30.8341,30.8341,15677459.00615,INTC
2017-01-04,98.6145,99.2621,98.4871,98.7518,98.7518,6825172.6554487,JNJ
2017-01-04,73.9553,74.142,73.4788,73.9121,73.9121,17936496.915985,JPM
2017-01-04,34.5579,34.6343,34.3191,34.3709,34.3709,12048314.663166,KO
2017-01-04,103.065,103.724,102.375,103.487,103.487,4365154.4575801,MCD
2017-01-04,146.935,147.673,146.597,147.179,147.179,1868203.7728712,MMM
2017-01-04,47.5769,47.8037,47.2134,47.2817,47.2817,11969128.204229,MRK
2017-01-04,56.6234,56.8675,56.2991,56.4601,56.4601,18612206.560884,MSFT
2017-01-04,49.0588,50.1039,48.9269,49.8462,49.8462,14570909.600119,NKE
2017-01-04,71.4508,71.577,71.2673,71.4912,71.4912,9557507.7481612,PG
2017-01-04,105.149,105.888,104.56,104.579,104.579,2044026.4034223,TRV
2017-01-04,143.584,143.795,141.269,143.19,143.19,3045168.0,UNH
2017-01-04,75.0246,75.8003,74.9502,75.6938,75.6938,8504205.0,V
2017-01-04,41.4201,41.6183,41.254,41.3949,41.3949,24121441.861776,VZ
2017-01-04,20.0543,20.339,20.0371,20.1706,20.1706,27037741.385973,WMT
2017-01-05,26.8106,27.0282,26.784,26.9731,26.9731,93810234.0,AAPL
2017-01-05,128.146,128.752,127.139,128.362,128.362,3146855.5030628,AMGN
2017-01-05,38.0775,39.12,38.0128,39.0225,39.0225,115366620.0,AMZN
2017-01-05,69.9542,70.1169,68.8664,69.327,69.327,3675407.2547595,AXP
2017-01-05,146.87,148.06,145.92,147.13,147.13,3014139.0,BA
2017-01-05,79.9336,81.0316,79.2836,79.7798,79.7798,5477347.4687773,CAT
2017-01-05,72.81,73.66,72.53,72.79,72.79,4686229.0,CRM
2017-01-05,25.1912,25.4072,25.1676,25.2491,25.2491,21338638.576699,CSCO
2017-01-05,91.1556,91.5136,90.1422,90.6124,90.6124,7674600.7223938,CVX
